Data Points
"Data Point:","size_wide","size_deep","cpu_time","elapsed","num_recs"," per_part","group_size"
"Data Point","10","10","1.42","2.433","15000","5000","3"
"Data Point","10","20",".96","1.152","15000","5000","4"
"Data Point","10","30",".97",".999","15000","5000","5"
"Data Point","20","10","1.97","3.332","30000","10000","4"
"Data Point","20","20","1.86","1.973","30000","10000","7"
"Data Point","20","30","1.97","2.082","30000","10000","10"
"Data Point","30","10","2.86","3.643","45000","15000","6"
"Data Point","30","20","2.81","3.007","45000","15000","10"
"Data Point","30","30","2.92","3.645","45000","15000","14"
"num_records_out"
"Run Type","Width","D10","D20","D30"
"MOD_QRY","W10","6166","3951","2910"
"MOD_QRY","W20","7710","4537","3199"
"MOD_QRY","W30","8451","4771","3325"
"MTH_QRY","W10","6166","3951","2910"
"MTH_QRY","W20","7710","4537","3199"
"MTH_QRY","W30","8451","4771","3325"
"RSF_QRY","W10","6166","3951","2910"
"RSF_QRY","W20","7710","4537","3199"
"RSF_QRY","W30","8451","4771","3325"
"RSF_TMP","W10","6166","3951","2910"
"RSF_TMP","W20","7710","4537","3199"
"RSF_TMP","W30","8451","4771","3325"
"num_records_out_SLICE"
"Run Type","D10","D20","D30"
"MOD_QRY","8451","4771","3325"
"MTH_QRY","8451","4771","3325"
"RSF_QRY","8451","4771","3325"
"RSF_TMP","8451","4771","3325"
"num_records_out_RATIO"
"Run Type","Width","D10","D20","D30"
"MOD_QRY","W10","1","1","1"
"MOD_QRY","W20","1","1","1"
"MOD_QRY","W30","1","1","1"
"MTH_QRY","W10","1","1","1"
"MTH_QRY","W20","1","1","1"
"MTH_QRY","W30","1","1","1"
"RSF_QRY","W10","1","1","1"
"RSF_QRY","W20","1","1","1"
"RSF_QRY","W30","1","1","1"
"RSF_TMP","W10","1","1","1"
"RSF_TMP","W20","1","1","1"
"RSF_TMP","W30","1","1","1"
"num_records_out_SLICE_RATIO"
"Run Type","D10","D20","D30"
"MOD_QRY","1","1","1"
"MTH_QRY","1","1","1"
"RSF_QRY","1","1","1"
"RSF_TMP","1","1","1"
"cpu_time"
"Run Type","Width","D10","D20","D30"
"MOD_QRY","W10",".08",".08",".11"
"MOD_QRY","W20",".18",".17",".17"
"MOD_QRY","W30",".26",".25",".3"
"MTH_QRY","W10",".03",".01",".02"
"MTH_QRY","W20",".03",".03",".02"
"MTH_QRY","W30",".06",".05",".05"
"RSF_QRY","W10","46.41","46.28","46.67"
"RSF_QRY","W20","186.42","190.24","187.33"
"RSF_QRY","W30","422.6","439.31","428.47"
"RSF_TMP","W10",".21",".16",".16"
"RSF_TMP","W20",".33",".37",".32"
"RSF_TMP","W30",".53",".52",".54"
"cpu_time_SLICE"
"Run Type","D10","D20","D30"
"MOD_QRY",".26",".25",".3"
"MTH_QRY",".06",".05",".05"
"RSF_QRY","422.6","439.31","428.47"
"RSF_TMP",".53",".52",".54"
"cpu_time_RATIO"
"Run Type","Width","D10","D20","D30"
"MOD_QRY","W10","2.67","8","5.5"
"MOD_QRY","W20","6","5.67","8.5"
"MOD_QRY","W30","4.33","5","6"
"MTH_QRY","W10","1","1","1"
"MTH_QRY","W20","1","1","1"
"MTH_QRY","W30","1","1","1"
"RSF_QRY","W10","1547","4628","2333.5"
"RSF_QRY","W20","6214","6341.33","9366.5"
"RSF_QRY","W30","7043.33","8786.2","8569.4"
"RSF_TMP","W10","7","16","8"
"RSF_TMP","W20","11","12.33","16"
"RSF_TMP","W30","8.83","10.4","10.8"
"cpu_time_SLICE_RATIO"
"Run Type","D10","D20","D30"
"MOD_QRY","4.33","5","6"
"MTH_QRY","1","1","1"
"RSF_QRY","7043.33","8786.2","8569.4"
"RSF_TMP","8.83","10.4","10.8"
"elapsed_time"
"Run Type","Width","D10","D20","D30"
"MOD_QRY","W10",".087",".081",".102"
"MOD_QRY","W20",".165",".164",".163"
"MOD_QRY","W30",".252",".236",".28"
"MTH_QRY","W10",".069",".019",".016"
"MTH_QRY","W20",".037",".032",".026"
"MTH_QRY","W30",".055",".04",".041"
"RSF_QRY","W10","46.452","46.289","46.687"
"RSF_QRY","W20","186.518","190.347","187.431"
"RSF_QRY","W30","422.698","439.848","428.745"
"RSF_TMP","W10",".193",".164",".162"
"RSF_TMP","W20",".337",".409",".322"
"RSF_TMP","W30",".53",".514",".512"
"elapsed_time_SLICE"
"Run Type","D10","D20","D30"
"MOD_QRY",".252",".236",".28"
"MTH_QRY",".055",".04",".041"
"RSF_QRY","422.698","439.848","428.745"
"RSF_TMP",".53",".514",".512"
"elapsed_time_RATIO"
"Run Type","Width","D10","D20","D30"
"MOD_QRY","W10","1.26","4.26","6.38"
"MOD_QRY","W20","4.46","5.13","6.27"
"MOD_QRY","W30","4.58","5.9","6.83"
"MTH_QRY","W10","1","1","1"
"MTH_QRY","W20","1","1","1"
"MTH_QRY","W30","1","1","1"
"RSF_QRY","W10","673.22","2436.26","2917.94"
"RSF_QRY","W20","5041.03","5948.34","7208.88"
"RSF_QRY","W30","7685.42","10996.2","10457.2"
"RSF_TMP","W10","2.8","8.63","10.13"
"RSF_TMP","W20","9.11","12.78","12.38"
"RSF_TMP","W30","9.64","12.85","12.49"
"elapsed_time_SLICE_RATIO"
"Run Type","D10","D20","D30"
"MOD_QRY","4.58","5.9","6.83"
"MTH_QRY","1","1","1"
"RSF_QRY","7685.42","10996.2","10457.2"
"RSF_TMP","9.64","12.85","12.49"
"memory_used"
"Run Type","Width","D10","D20","D30"
"MOD_QRY","W10","1197056","1192960","1167360"
"MOD_QRY","W20","2134016","2137088","2136064"
"MOD_QRY","W30","3046400","3036160","3027968"
"MTH_QRY","W10","692224","692224","692224"
"MTH_QRY","W20","1272832","1272832","1272832"
